Subject,Start date,Start time,End date,End time,Description,Location
ECS 020 A03 (Lecture),03/31/2026,19:40,03/31/2026,21:00,Discrete Mathematics For Computer Science,Max Kleiber Hall 3
ECS 020 A03 (Lecture),04/07/2026,19:40,04/07/2026,21:00,Discrete Mathematics For Computer Science,Max Kleiber Hall 3
ECS 020 A03 (Lecture),04/14/2026,19:40,04/14/2026,21:00,Discrete Mathematics For Computer Science,Max Kleiber Hall 3
ECS 020 A03 (Lecture),04/21/2026,19:40,04/21/2026,21:00,Discrete Mathematics For Computer Science,Max Kleiber Hall 3
ECS 020 A03 (Lecture),04/28/2026,19:40,04/28/2026,21:00,Discrete Mathematics For Computer Science,Max Kleiber Hall 3
ECS 020 A03 (Lecture),05/05/2026,19:40,05/05/2026,21:00,Discrete Mathematics For Computer Science,Max Kleiber Hall 3
ECS 020 A03 (Lecture),05/12/2026,19:40,05/12/2026,21:00,Discrete Mathematics For Computer Science,Max Kleiber Hall 3
ECS 020 A03 (Lecture),05/19/2026,19:40,05/19/2026,21:00,Discrete Mathematics For Computer Science,Max Kleiber Hall 3
ECS 020 A03 (Lecture),05/26/2026,19:40,05/26/2026,21:00,Discrete Mathematics For Computer Science,Max Kleiber Hall 3
ECS 020 A03 (Lecture),06/02/2026,19:40,06/02/2026,21:00,Discrete Mathematics For Computer Science,Max Kleiber Hall 3
ECS 020 A03 (Lecture),03/26/2026,19:40,03/26/2026,21:00,Discrete Mathematics For Computer Science,Max Kleiber Hall 3
ECS 020 A03 (Lecture),04/02/2026,19:40,04/02/2026,21:00,Discrete Mathematics For Computer Science,Max Kleiber Hall 3
ECS 020 A03 (Lecture),04/09/2026,19:40,04/09/2026,21:00,Discrete Mathematics For Computer Science,Max Kleiber Hall 3
ECS 020 A03 (Lecture),04/16/2026,19:40,04/16/2026,21:00,Discrete Mathematics For Computer Science,Max Kleiber Hall 3
ECS 020 A03 (Lecture),04/23/2026,19:40,04/23/2026,21:00,Discrete Mathematics For Computer Science,Max Kleiber Hall 3
ECS 020 A03 (Lecture),04/30/2026,19:40,04/30/2026,21:00,Discrete Mathematics For Computer Science,Max Kleiber Hall 3
ECS 020 A03 (Lecture),05/07/2026,19:40,05/07/2026,21:00,Discrete Mathematics For Computer Science,Max Kleiber Hall 3
ECS 020 A03 (Lecture),05/14/2026,19:40,05/14/2026,21:00,Discrete Mathematics For Computer Science,Max Kleiber Hall 3
ECS 020 A03 (Lecture),05/21/2026,19:40,05/21/2026,21:00,Discrete Mathematics For Computer Science,Max Kleiber Hall 3
ECS 020 A03 (Lecture),05/28/2026,19:40,05/28/2026,21:00,Discrete Mathematics For Computer Science,Max Kleiber Hall 3
ECS 020 A03 (Lecture),06/04/2026,19:40,06/04/2026,21:00,Discrete Mathematics For Computer Science,Max Kleiber Hall 3
ECS 020 A03 (Discussion),03/26/2026,09:00,03/26/2026,09:50,Discrete Mathematics For Computer Science,Olson Hall 106
ECS 020 A03 (Discussion),04/02/2026,09:00,04/02/2026,09:50,Discrete Mathematics For Computer Science,Olson Hall 106
ECS 020 A03 (Discussion),04/09/2026,09:00,04/09/2026,09:50,Discrete Mathematics For Computer Science,Olson Hall 106
ECS 020 A03 (Discussion),04/16/2026,09:00,04/16/2026,09:50,Discrete Mathematics For Computer Science,Olson Hall 106
ECS 020 A03 (Discussion),04/23/2026,09:00,04/23/2026,09:50,Discrete Mathematics For Computer Science,Olson Hall 106
ECS 020 A03 (Discussion),04/30/2026,09:00,04/30/2026,09:50,Discrete Mathematics For Computer Science,Olson Hall 106
ECS 020 A03 (Discussion),05/07/2026,09:00,05/07/2026,09:50,Discrete Mathematics For Computer Science,Olson Hall 106
ECS 020 A03 (Discussion),05/14/2026,09:00,05/14/2026,09:50,Discrete Mathematics For Computer Science,Olson Hall 106
ECS 020 A03 (Discussion),05/21/2026,09:00,05/21/2026,09:50,Discrete Mathematics For Computer Science,Olson Hall 106
ECS 020 A03 (Discussion),05/28/2026,09:00,05/28/2026,09:50,Discrete Mathematics For Computer Science,Olson Hall 106
ECS 020 A03 (Discussion),06/04/2026,09:00,06/04/2026,09:50,Discrete Mathematics For Computer Science,Olson Hall 106
EEC 001 A01 (Lecture),03/30/2026,15:10,03/30/2026,16:00,Introduction to Electrical & Computer Engineering,Max Kleiber Hall 3
EEC 001 A01 (Lecture),04/06/2026,15:10,04/06/2026,16:00,Introduction to Electrical & Computer Engineering,Max Kleiber Hall 3
EEC 001 A01 (Lecture),04/13/2026,15:10,04/13/2026,16:00,Introduction to Electrical & Computer Engineering,Max Kleiber Hall 3
EEC 001 A01 (Lecture),04/20/2026,15:10,04/20/2026,16:00,Introduction to Electrical & Computer Engineering,Max Kleiber Hall 3
EEC 001 A01 (Lecture),04/27/2026,15:10,04/27/2026,16:00,Introduction to Electrical & Computer Engineering,Max Kleiber Hall 3
EEC 001 A01 (Lecture),05/04/2026,15:10,05/04/2026,16:00,Introduction to Electrical & Computer Engineering,Max Kleiber Hall 3
EEC 001 A01 (Lecture),05/11/2026,15:10,05/11/2026,16:00,Introduction to Electrical & Computer Engineering,Max Kleiber Hall 3
EEC 001 A01 (Lecture),05/18/2026,15:10,05/18/2026,16:00,Introduction to Electrical & Computer Engineering,Max Kleiber Hall 3
EEC 001 A01 (Lecture),05/25/2026,15:10,05/25/2026,16:00,Introduction to Electrical & Computer Engineering,Max Kleiber Hall 3
EEC 001 A01 (Lecture),06/01/2026,15:10,06/01/2026,16:00,Introduction to Electrical & Computer Engineering,Max Kleiber Hall 3
EEC 001 A01 (Laboratory),03/31/2026,13:10,03/31/2026,15:00,Introduction to Electrical & Computer Engineering,Kemper Hall 2161
EEC 001 A01 (Laboratory),04/07/2026,13:10,04/07/2026,15:00,Introduction to Electrical & Computer Engineering,Kemper Hall 2161
EEC 001 A01 (Laboratory),04/14/2026,13:10,04/14/2026,15:00,Introduction to Electrical & Computer Engineering,Kemper Hall 2161
EEC 001 A01 (Laboratory),04/21/2026,13:10,04/21/2026,15:00,Introduction to Electrical & Computer Engineering,Kemper Hall 2161
EEC 001 A01 (Laboratory),04/28/2026,13:10,04/28/2026,15:00,Introduction to Electrical & Computer Engineering,Kemper Hall 2161
EEC 001 A01 (Laboratory),05/05/2026,13:10,05/05/2026,15:00,Introduction to Electrical & Computer Engineering,Kemper Hall 2161
EEC 001 A01 (Laboratory),05/12/2026,13:10,05/12/2026,15:00,Introduction to Electrical & Computer Engineering,Kemper Hall 2161
EEC 001 A01 (Laboratory),05/19/2026,13:10,05/19/2026,15:00,Introduction to Electrical & Computer Engineering,Kemper Hall 2161
EEC 001 A01 (Laboratory),05/26/2026,13:10,05/26/2026,15:00,Introduction to Electrical & Computer Engineering,Kemper Hall 2161
EEC 001 A01 (Laboratory),06/02/2026,13:10,06/02/2026,15:00,Introduction to Electrical & Computer Engineering,Kemper Hall 2161
PHY 009D A02 (Lecture),03/30/2026,11:00,03/30/2026,11:50,Modern Physics,Roessler Hall 66
PHY 009D A02 (Lecture),04/06/2026,11:00,04/06/2026,11:50,Modern Physics,Roessler Hall 66
PHY 009D A02 (Lecture),04/13/2026,11:00,04/13/2026,11:50,Modern Physics,Roessler Hall 66
PHY 009D A02 (Lecture),04/20/2026,11:00,04/20/2026,11:50,Modern Physics,Roessler Hall 66
PHY 009D A02 (Lecture),04/27/2026,11:00,04/27/2026,11:50,Modern Physics,Roessler Hall 66
PHY 009D A02 (Lecture),05/04/2026,11:00,05/04/2026,11:50,Modern Physics,Roessler Hall 66
PHY 009D A02 (Lecture),05/11/2026,11:00,05/11/2026,11:50,Modern Physics,Roessler Hall 66
PHY 009D A02 (Lecture),05/18/2026,11:00,05/18/2026,11:50,Modern Physics,Roessler Hall 66
PHY 009D A02 (Lecture),05/25/2026,11:00,05/25/2026,11:50,Modern Physics,Roessler Hall 66
PHY 009D A02 (Lecture),06/01/2026,11:00,06/01/2026,11:50,Modern Physics,Roessler Hall 66
PHY 009D A02 (Lecture),04/01/2026,11:00,04/01/2026,11:50,Modern Physics,Roessler Hall 66
PHY 009D A02 (Lecture),04/08/2026,11:00,04/08/2026,11:50,Modern Physics,Roessler Hall 66
PHY 009D A02 (Lecture),04/15/2026,11:00,04/15/2026,11:50,Modern Physics,Roessler Hall 66
PHY 009D A02 (Lecture),04/22/2026,11:00,04/22/2026,11:50,Modern Physics,Roessler Hall 66
PHY 009D A02 (Lecture),04/29/2026,11:00,04/29/2026,11:50,Modern Physics,Roessler Hall 66
PHY 009D A02 (Lecture),05/06/2026,11:00,05/06/2026,11:50,Modern Physics,Roessler Hall 66
PHY 009D A02 (Lecture),05/13/2026,11:00,05/13/2026,11:50,Modern Physics,Roessler Hall 66
PHY 009D A02 (Lecture),05/20/2026,11:00,05/20/2026,11:50,Modern Physics,Roessler Hall 66
PHY 009D A02 (Lecture),05/27/2026,11:00,05/27/2026,11:50,Modern Physics,Roessler Hall 66
PHY 009D A02 (Lecture),06/03/2026,11:00,06/03/2026,11:50,Modern Physics,Roessler Hall 66
PHY 009D A02 (Lecture),03/27/2026,11:00,03/27/2026,11:50,Modern Physics,Roessler Hall 66
PHY 009D A02 (Lecture),04/03/2026,11:00,04/03/2026,11:50,Modern Physics,Roessler Hall 66
PHY 009D A02 (Lecture),04/10/2026,11:00,04/10/2026,11:50,Modern Physics,Roessler Hall 66
PHY 009D A02 (Lecture),04/17/2026,11:00,04/17/2026,11:50,Modern Physics,Roessler Hall 66
PHY 009D A02 (Lecture),04/24/2026,11:00,04/24/2026,11:50,Modern Physics,Roessler Hall 66
PHY 009D A02 (Lecture),05/01/2026,11:00,05/01/2026,11:50,Modern Physics,Roessler Hall 66
PHY 009D A02 (Lecture),05/08/2026,11:00,05/08/2026,11:50,Modern Physics,Roessler Hall 66
PHY 009D A02 (Lecture),05/15/2026,11:00,05/15/2026,11:50,Modern Physics,Roessler Hall 66
PHY 009D A02 (Lecture),05/22/2026,11:00,05/22/2026,11:50,Modern Physics,Roessler Hall 66
PHY 009D A02 (Lecture),05/29/2026,11:00,05/29/2026,11:50,Modern Physics,Roessler Hall 66
PHY 009D A02 (Discussion),04/01/2026,16:40,04/01/2026,18:00,Modern Physics,Roessler Hall 166
PHY 009D A02 (Discussion),04/08/2026,16:40,04/08/2026,18:00,Modern Physics,Roessler Hall 166
PHY 009D A02 (Discussion),04/15/2026,16:40,04/15/2026,18:00,Modern Physics,Roessler Hall 166
PHY 009D A02 (Discussion),04/22/2026,16:40,04/22/2026,18:00,Modern Physics,Roessler Hall 166
PHY 009D A02 (Discussion),04/29/2026,16:40,04/29/2026,18:00,Modern Physics,Roessler Hall 166
PHY 009D A02 (Discussion),05/06/2026,16:40,05/06/2026,18:00,Modern Physics,Roessler Hall 166
PHY 009D A02 (Discussion),05/13/2026,16:40,05/13/2026,18:00,Modern Physics,Roessler Hall 166
PHY 009D A02 (Discussion),05/20/2026,16:40,05/20/2026,18:00,Modern Physics,Roessler Hall 166
PHY 009D A02 (Discussion),05/27/2026,16:40,05/27/2026,18:00,Modern Physics,Roessler Hall 166
PHY 009D A02 (Discussion),06/03/2026,16:40,06/03/2026,18:00,Modern Physics,Roessler Hall 166
EEC 010 A06 (Lecture),03/31/2026,11:00,03/31/2026,11:50,Introduction to Digital & Analog Systems,Max Kleiber Hall 3
EEC 010 A06 (Lecture),04/07/2026,11:00,04/07/2026,11:50,Introduction to Digital & Analog Systems,Max Kleiber Hall 3
EEC 010 A06 (Lecture),04/14/2026,11:00,04/14/2026,11:50,Introduction to Digital & Analog Systems,Max Kleiber Hall 3
EEC 010 A06 (Lecture),04/21/2026,11:00,04/21/2026,11:50,Introduction to Digital & Analog Systems,Max Kleiber Hall 3
EEC 010 A06 (Lecture),04/28/2026,11:00,04/28/2026,11:50,Introduction to Digital & Analog Systems,Max Kleiber Hall 3
EEC 010 A06 (Lecture),05/05/2026,11:00,05/05/2026,11:50,Introduction to Digital & Analog Systems,Max Kleiber Hall 3
EEC 010 A06 (Lecture),05/12/2026,11:00,05/12/2026,11:50,Introduction to Digital & Analog Systems,Max Kleiber Hall 3
EEC 010 A06 (Lecture),05/19/2026,11:00,05/19/2026,11:50,Introduction to Digital & Analog Systems,Max Kleiber Hall 3
EEC 010 A06 (Lecture),05/26/2026,11:00,05/26/2026,11:50,Introduction to Digital & Analog Systems,Max Kleiber Hall 3
EEC 010 A06 (Lecture),06/02/2026,11:00,06/02/2026,11:50,Introduction to Digital & Analog Systems,Max Kleiber Hall 3
EEC 010 A06 (Lecture),03/26/2026,11:00,03/26/2026,11:50,Introduction to Digital & Analog Systems,Max Kleiber Hall 3
EEC 010 A06 (Lecture),04/02/2026,11:00,04/02/2026,11:50,Introduction to Digital & Analog Systems,Max Kleiber Hall 3
EEC 010 A06 (Lecture),04/09/2026,11:00,04/09/2026,11:50,Introduction to Digital & Analog Systems,Max Kleiber Hall 3
EEC 010 A06 (Lecture),04/16/2026,11:00,04/16/2026,11:50,Introduction to Digital & Analog Systems,Max Kleiber Hall 3
EEC 010 A06 (Lecture),04/23/2026,11:00,04/23/2026,11:50,Introduction to Digital & Analog Systems,Max Kleiber Hall 3
EEC 010 A06 (Lecture),04/30/2026,11:00,04/30/2026,11:50,Introduction to Digital & Analog Systems,Max Kleiber Hall 3
EEC 010 A06 (Lecture),05/07/2026,11:00,05/07/2026,11:50,Introduction to Digital & Analog Systems,Max Kleiber Hall 3
EEC 010 A06 (Lecture),05/14/2026,11:00,05/14/2026,11:50,Introduction to Digital & Analog Systems,Max Kleiber Hall 3
EEC 010 A06 (Lecture),05/21/2026,11:00,05/21/2026,11:50,Introduction to Digital & Analog Systems,Max Kleiber Hall 3
EEC 010 A06 (Lecture),05/28/2026,11:00,05/28/2026,11:50,Introduction to Digital & Analog Systems,Max Kleiber Hall 3
EEC 010 A06 (Lecture),06/04/2026,11:00,06/04/2026,11:50,Introduction to Digital & Analog Systems,Max Kleiber Hall 3
EEC 010 A06 (Laboratory),04/01/2026,12:10,04/01/2026,15:00,Introduction to Digital & Analog Systems,Kemper Hall 2155
EEC 010 A06 (Laboratory),04/08/2026,12:10,04/08/2026,15:00,Introduction to Digital & Analog Systems,Kemper Hall 2155
EEC 010 A06 (Laboratory),04/15/2026,12:10,04/15/2026,15:00,Introduction to Digital & Analog Systems,Kemper Hall 2155
EEC 010 A06 (Laboratory),04/22/2026,12:10,04/22/2026,15:00,Introduction to Digital & Analog Systems,Kemper Hall 2155
EEC 010 A06 (Laboratory),04/29/2026,12:10,04/29/2026,15:00,Introduction to Digital & Analog Systems,Kemper Hall 2155
EEC 010 A06 (Laboratory),05/06/2026,12:10,05/06/2026,15:00,Introduction to Digital & Analog Systems,Kemper Hall 2155
EEC 010 A06 (Laboratory),05/13/2026,12:10,05/13/2026,15:00,Introduction to Digital & Analog Systems,Kemper Hall 2155
EEC 010 A06 (Laboratory),05/20/2026,12:10,05/20/2026,15:00,Introduction to Digital & Analog Systems,Kemper Hall 2155
EEC 010 A06 (Laboratory),05/27/2026,12:10,05/27/2026,15:00,Introduction to Digital & Analog Systems,Kemper Hall 2155
EEC 010 A06 (Laboratory),06/03/2026,12:10,06/03/2026,15:00,Introduction to Digital & Analog Systems,Kemper Hall 2155
